domaine,annee,nom_module,niveau,classe,nb_groupes,anglais,charge_horaire,coordinateur,nouveau_module,ecole,lien_github,lien_youtube,lien_blackboard,remarque
Sciences des données,2017-2018,Analyse des données avec SPSS,Master,MKD,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/MarketingDataAnalysis,,https://esprit.blackboard.com/ultra/courses/_26552_1/outline,
Encadrement et soutien,2017-2018,Cours de soutien Mathématiques,Licence,—,1,False,9,True,False,ESB,,,,
Encadrement et soutien,2017-2018,Cours de soutien Statistiques inférentielles,Licence,—,1,False,9,True,True,ESB,,,,
Mathématiques et Statistiques,2017-2018,Statistiques descriptives et Probabilités,Licence,LFG,4,False,210,False,False,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_2969_1/outline,
Mathématiques et Statistiques,2018-2019,Mathématiques 1,Licence,LFG,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/Mathematiques1,,https://esprit.blackboard.com/ultra/courses/_3744_1/outline,
Mathématiques et Statistiques,2018-2019,Les fondamentaux des mathématiques,Master,BA,1,False,21,True,True,ESB,https://github.com/Aymenbenbrik/FondamentauxMathematiques,,https://esprit.blackboard.com/ultra/courses/_26559_1/outline,
Mathématiques et Statistiques,2018-2019,Statistiques inférentielles,Licence,LFG,1,False,42,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInferentiellesLicence,,https://esprit.blackboard.com/ultra/courses/_3845_1/outline,
Mathématiques et Statistiques,2018-2019,Statistiques inférentielles,Licence,LFIG,2,False,84,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInferentiellesLicence,,https://esprit.blackboard.com/ultra/courses/_3724_1/outline,
Encadrement et soutien,2018-2019,Cours de soutien Statistiques inférentielles,Licence,—,1,False,15,True,False,ESB,,,,
Mathématiques et Statistiques,2018-2019,Statistiques descriptives et Probabilités,Licence,LFIG,2,False,60,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_3733_1/outline,
Mathématiques et Statistiques,2018-2019,Statistiques descriptives et Probabilités,Licence,LFG,2,False,84,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_2969_1/outline,
Sciences des données,2018-2019,Séries Temporelles,Master,BA,1,False,42,True,True,ESB,https://github.com/Aymenbenbrik/TimeSeriesR,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_14137_1/outline,
Mathématiques et Statistiques,2019-2020,Algèbre 1,Licence,LMAD,1,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Algebre1-2022-,,https://esprit.blackboard.com/ultra/courses/_26545_1/outline,
Mathématiques et Statistiques,2019-2020,Probabilités et Statistiques,Master,BA,2,False,42,True,True,ESB,https://github.com/Aymenbenbrik/StatistiquesDescriptivesProbabilites,,https://esprit.blackboard.com/ultra/courses/_26564_1/outline,
Sciences des données,2019-2020,Programmation avec R,Master,MDSI,2,False,60,True,True,ESB,https://github.com/Aymenbenbrik/ProgrammationR,,https://esprit.blackboard.com/ultra/courses/_26566_1/outline,
Mathématiques et Statistiques,2019-2020,Probabilités et Statistiques,Master,MDSI,2,False,84,True,True,ESB,https://github.com/Aymenbenbrik/AnalyseStatistiqueR,,https://esprit.blackboard.com/ultra/courses/_26565_1/outline,
Sciences des données,2019-2020,Programmation avec R,Master,MKD,2,False,42,True,True,ESB,https://github.com/Aymenbenbrik/ProgrammationR,,https://esprit.blackboard.com/ultra/courses/_26566_1/outline,
Mathématiques et Statistiques,2019-2020,Algèbre 2,Licence,LMAD,1,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Algebre2,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_26547_1/outline,Le module est bien plus facile à comprendre en i ntégrant des exercices Matlab/Octave au premier lieu.  Les étudiants ont bénéficié d'une formation en Matlab/Octave.
Sciences des données,2019-2020,Séries Temporelles,Master,BA,2,False,84,True,False,ESB,https://github.com/Aymenbenbrik/TimeSeriesR,https://www.youtube.com/playlist?list=PLTuHP93TC8cwcfvRb7T3O3izAmt_OzwyF,https://esprit.blackboard.com/ultra/courses/_14137_1/outline,Alléger le contenu théorique du module pour aller à un module avec une majorité d'activités de type applicatif sur Machine
Mathématiques et Statistiques,2019-2020,Analyse 2,Licence,LMAD,1,False,30,False,True,ESB,,,https://esprit.blackboard.com/ultra/courses/_26549_1/outline,Remplacer ma collègue en maternité (Olfa Draouil)
Mathématiques et Statistiques,2019-2020,Analyse statistique avec R,Licence,LMAD,1,False,21,True,True,ESB,https://github.com/Aymenbenbrik/AnalyseStatistiqueR,,https://esprit.blackboard.com/ultra/courses/_26553_1/outline|https://esprit.blackboard.com/ultra/courses/_26554_1/outline,Avoir des projets sur des données réelles : Analyse des données du COVID-19
Mathématiques et Statistiques,2020-2021,Algèbre 3,Licence,LMAD,1,False,84,True,True,ESB,https://github.com/Aymenbenbrik/Algebre3,,https://esprit.blackboard.com/ultra/courses/_26548_1/outline,"Depuis sa conception, et suite à la formation Octave Matlab lors du module Algèbre 2, le module a pris une teinte pratique très intéressante qui a permis de traiter des problèmes plus complexes modélisés par des matrices"
Mathématiques et Statistiques,2020-2021,Algèbre 1,Licence,LMAD,1,False,84,True,False,ESB,https://github.com/Aymenbenbrik/Algebre1-2022-,,https://esprit.blackboard.com/ultra/courses/_26545_1/outline,
Mathématiques et Statistiques,2020-2021,Statistiques inférentielles,Licence,LBC,3,False,63,True,False,ESB,https://github.com/Aymenbenbrik/StatistiquesInferentiellesLicence,,https://esprit.blackboard.com/ultra/courses/_3724_1/outline,
